avg,mapped_wreq,1-48,49-96,97-144,145-192,193-240,241-288,289-336,337-384,385-432,433-480,481-528,529-576,577-624,625-672,673-720,721-768,769-816,817-864,865-912,913-960,961-1008,1009-1056,1057-1104,1105-1152,1153-1200,1201-1248,1249-1296,1297-1344,1345-1392,1393-1440
2282,"{""mean"": 2260.8, ""bench"": ""pyaes-1ffe81cca728fa8d0b"", ""payload"": ""{\""message_length\"": 3840, \""num_iterations\"": 101}""}",2,1,1,1,1,1,1,2,2,1,0,0,1,1,3,4,4,4,3,3,2,3,3,3,3,4,2,2,2,2
16,"{""mean"": 16.0, ""bench"": ""chameleon-d3ee78008884e4"", ""payload"": ""{\""nrow\"": 36, \""ncol\"": 36}""}",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
71,"{""mean"": 71.0, ""bench"": ""pyaes-d3cad6d3432ed9d341"", ""payload"": ""{\""message_length\"": 448, \""num_iterations\"": 26}""}",1,1,0,0,0,0,1,1,1,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,1,1
3800,"{""mean"": 3797.1, ""bench"": ""matmul_fb-cf99ed20ea8e5a"", ""payload"": ""{\""N\"": 1344, \""M\"": 1344}""}",1,1,0,1,1,0,3,3,2,3,6,6,2,3,1,1,1,2,1,2,1,1,4,6,3,1,2,1,1,0
48,"{""mean"": 48.0, ""bench"": ""matmul_fb-a76cb111c73412"", ""payload"": ""{\""N\"": 328, \""M\"": 328}""}",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
259,"{""mean"": 256.8, ""bench"": ""chameleon-396ec767ad9f73"", ""payload"": ""{\""nrow\"": 272, \""ncol\"": 272}""}",3,3,2,1,1,2,3,3,1,1,3,3,3,1,1,3,3,2,1,1,3,3,3,1,1,3,3,3,1,1
53,"{""mean"": 52.7, ""bench"": ""json_serdes-0cd5cb6da94e"", ""payload"": ""{\""minio_address\"": \""icy1.cslab.ece.ntua.gr:59000\"", \""bucket_name\"": \""snaplace-fbpml\"", \""file_name\"": \""gen02_n1408.json\""}""}",1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,3,3,3,3,2,2,2,2,2,2,2,2,1,1,1
214,"{""mean"": 216.1, ""bench"": ""chameleon-6ed55e1932e7ab"", ""payload"": ""{\""nrow\"": 248, \""ncol\"": 248}""}",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1520,"{""mean"": 1522.9, ""bench"": ""chameleon-ff8896a9f94721"", ""payload"": ""{\""nrow\"": 672, \""ncol\"": 672}""}",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
853,"{""mean"": 860.5, ""bench"": ""chameleon-2c3fcfd4b22311"", ""payload"": ""{\""nrow\"": 504, \""ncol\"": 504}""}",0,0,0,0,0,0,0,0,0,1,3,3,3,3,3,3,3,2,2,3,3,3,3,3,3,3,2,2,1,1
